X,Y,OBJECTID,TREEID,MANAGEMENTUNIT,COMMONNAME,BOTANICALNAME,REMOVE,TYPE,DBH_IN,HEIGHT,CANOPY,CAMPUSZONE,COMMENTS,AVERAGE,STATUS,HISTORIC,TREESTATUS,DATEREMOVED,PRUNE,PHOTO
-79.04256731645323,35.90200983426746,1297,tree 1239, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.04254578021326,35.901989924554101,1298,tree 1240, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042541990557496,35.902006924139407,1299,tree 1241, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042517521948156,35.90202908175106,1300,tree 1242, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042493032347522,35.902010546914042,1301,tree 1243, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042460086485804,35.901964371210298,1302,tree 1244, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042474853041909,35.901952862528681,1303,tree 1245, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042431820700898,35.901989277487587,1304,tree 1246, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042446599447672,35.902000947840463,1305,tree 1247, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042417055124105,35.902002675172106,1306,tree 1248, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042419599632908,35.902025166921788,1307,tree 1249, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042408223814149,35.90206328791772,1327,tree 1269, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042442408263639,35.902057438460176,1328,tree 1270, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042455920675948,35.902069109252174,1329,tree 1272, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042465609741626,35.902033735848391,1330,tree 1273, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042479121430887,35.902044033133443,1331,tree 1274, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042490100317238,35.902053300994709,1332,tree 1275, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042515845341924,35.902051059817225,1333,tree 1276, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042567327403262,35.902030609841226,1334,tree 1285, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.042515423604513,35.902051231916033,1335,tree 1286, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043522746276651,35.901752807215559,1336,tree 1293, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043496160711342,35.901761401629138,1337,tree 1294, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043509265397461,35.901799857553833,1338,tree 1295, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043505474843414,35.901814796561766,1339,tree 1296, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043449774206096,35.901837995799092,1340,tree 1297, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043417683214372,35.901812767577553,1341,tree 1298, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043391100846819,35.901827371490029,1342,tree 1299, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043368728664817,35.901822915026315,1343,tree 1300, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043329049622741,35.90181468774346,1344,tree 1301, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043342952315157,35.90176660697113,1345,tree 1302, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043370380323822,35.901754921729747,1346,tree 1303, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043435798707037,35.901750605991431,1347,tree 1304, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043481379453155,35.901745266984925,1348,tree 1305, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043327324422748,35.901745665342048,1349,tree 1306, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043304117480375,35.901758550980297,1350,tree 1307, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043293547177356,35.901723871447977,1351,tree 1308, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043269073432796,35.9017358991766,1352,tree 1309, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043247133011235,35.901749127555277,1353,tree 1310, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043260226264707,35.901766464731054,1354,tree 1311, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.04327585478778,35.901788608272994,1355,tree 1312, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043212538067323,35.901776611668311,1356,tree 1313, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.04323108341265,35.90172835766343,1357,tree 1314, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043182115514497,35.901714295700323,1358,tree 1315, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.043182550900752,35.901738848440303,1359,tree 1316, ,pine, ,,E,10,40,10,HR, , ,To Be Completed,No,1,, ,
-79.048349438438891,35.908948355371201,1360, , ,oak, ,,D,22.5,65,20,QH, , ,To Be Completed,No,1,, ,
-79.048023640302532,35.908974875228871,1361, , ,sweetgum,Liquidambar styraciflua,,E,0,50,14,QH, , ,Completed,No,1,, ,
-79.048025122842532,35.908993712288982,1362, , ,loblolly pine,Pinus taeda,,E,0,75,14,QH, , ,Completed,No,1,, ,
-79.048111017371781,35.90893236705729,1363, , ,oak, ,,D,14.10000038,55,10,QH, , ,To Be Completed,No,1,, ,
-79.04818532170394,35.908839780768446,1364, , , , ,,D,10.19999981,35,8,QH, , ,To Be Completed,No,1,, ,
-79.048072907389809,35.908809623903252,1365, , ,oak, ,,D,20.79999924,50,16,QH, , ,To Be Completed,No,1,, ,
-79.048119457175773,35.908817637689388,1366, , ,oak, ,,D,19.79999924,60,20,QH, , ,To Be Completed,No,1,, ,
